Quote,Author,Tags,Quote_clean,Author_encoded,Tags_list
The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.,Albert Einstein,"change,deep-thoughts,thinking,world",the world as we have created it is a process of our thinking. it cannot be changed without changing our thinking.,0,"['change', 'deep-thoughts', 'thinking', 'world']"
"It is our choices, Harry, that show what we truly are, far more than our abilities.",J.K. Rowling,"abilities,choices","it is our choices, harry, that show what we truly are, far more than our abilities.",14,"['abilities', 'choices']"
There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.,Albert Einstein,"inspirational,life,live,miracle,miracles",there are only two ways to live your life. one is as though nothing is a miracle. the other is as though everything is a miracle.,0,"['inspirational', 'life', 'live', 'miracle', 'miracles']"
"The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.",Jane Austen,"aliteracy,books,classic,humor","the person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.",16,"['aliteracy', 'books', 'classic', 'humor']"
"Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.",Marilyn Monroe,"be-yourself,inspirational","imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.",19,"['be-yourself', 'inspirational']"
Try not to become a man of success. Rather become a man of value.,Albert Einstein,"adulthood,success,value",try not to become a man of success. rather become a man of value.,0,"['adulthood', 'success', 'value']"
It is better to be hated for what you are than to be loved for what you are not.,André Gide,"life,love",it is better to be hated for what you are than to be loved for what you are not.,2,"['life', 'love']"
"I have not failed. I've just found 10,000 ways that won't work.",Thomas A. Edison,"edison,failure,inspirational,paraphrased","i have not failed. i've just found 10,000 ways that won't work.",26,"['edison', 'failure', 'inspirational', 'paraphrased']"
A woman is like a tea bag; you never know how strong it is until it's in hot water.,Eleanor Roosevelt,misattributed-eleanor-roosevelt,a woman is like a tea bag; you never know how strong it is until it's in hot water.,8,['misattributed-eleanor-roosevelt']
"A day without sunshine is like, you know, night.",Steve Martin,"humor,obvious,simile","a day without sunshine is like, you know, night.",25,"['humor', 'obvious', 'simile']"
"This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about.",Marilyn Monroe,"friends,heartbreak,inspirational,life,love,sisters","this life is what you make it. no matter what, you're going to mess up sometimes, it's a universal truth. but the good part is you get to decide how you're going to mess it up. girls will be your friends - they'll act like it anyway. but just remember, some come, some go. the ones that stay with you through everything - they're your true best friends. don't let go of them. also remember, sisters make the best friends in the world. as for lovers, well, they'll come and go too. and baby, i hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. you'll never find that half who makes you whole and that goes for everything. just because you fail once, doesn't mean you're gonna fail at everything. keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? so keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about.",19,"['friends', 'heartbreak', 'inspirational', 'life', 'love', 'sisters']"
"It takes a great deal of bravery to stand up to our enemies, but just as much to stand up to our friends.",J.K. Rowling,"courage,friends","it takes a great deal of bravery to stand up to our enemies, but just as much to stand up to our friends.",14,"['courage', 'friends']"
"If you can't explain it to a six year old, you don't understand it yourself.",Albert Einstein,"simplicity,understand","if you can't explain it to a six year old, you don't understand it yourself.",0,"['simplicity', 'understand']"
"You may not be her first, her last, or her only. She loved before she may love again. But if she loves you now, what else matters? She's not perfect—you aren't either, and the two of you may never be perfect together but if she can make you laugh, cause you to think twice, and admit to being human and making mistakes, hold onto her and give her the most you can. She may not be thinking about you every second of the day, but she will give you a part of her that she knows you can break—her heart. So don't hurt her, don't change her, don't analyze and don't expect more than she can give. Smile when she makes you happy, let her know when she makes you mad, and miss her when she's not there.",Bob Marley,love,"you may not be her first, her last, or her only. she loved before she may love again. but if she loves you now, what else matters? she's not perfect—you aren't either, and the two of you may never be perfect together but if she can make you laugh, cause you to think twice, and admit to being human and making mistakes, hold onto her and give her the most you can. she may not be thinking about you every second of the day, but she will give you a part of her that she knows you can break—her heart. so don't hurt her, don't change her, don't analyze and don't expect more than she can give. smile when she makes you happy, let her know when she makes you mad, and miss her when she's not there.",3,['love']
"I like nonsense, it wakes up the brain cells. Fantasy is a necessary ingredient in living.",Dr. Seuss,fantasy,"i like nonsense, it wakes up the brain cells. fantasy is a necessary ingredient in living.",7,['fantasy']
"I may not have gone where I intended to go, but I think I have ended up where I needed to be.",Douglas Adams,"life,navigation","i may not have gone where i intended to go, but i think i have ended up where i needed to be.",6,"['life', 'navigation']"
"The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference.",Elie Wiesel,"activism,apathy,hate,indifference,inspirational,love,opposite,philosophy","the opposite of love is not hate, it's indifference. the opposite of art is not ugliness, it's indifference. the opposite of faith is not heresy, it's indifference. and the opposite of life is not death, it's indifference.",9,"['activism', 'apathy', 'hate', 'indifference', 'inspirational', 'love', 'opposite', 'philosophy']"
"It is not a lack of love, but a lack of friendship that makes unhappy marriages.",Friedrich Nietzsche,"friendship,lack-of-friendship,lack-of-love,love,marriage,unhappy-marriage","it is not a lack of love, but a lack of friendship that makes unhappy marriages.",10,"['friendship', 'lack-of-friendship', 'lack-of-love', 'love', 'marriage', 'unhappy-marriage']"
